drugCN	drugEN	atc_code	drug_id	gene	phenotype	abbreviation	clinic	treatment	forecast	suggest	source	guide_ref	publication
丙戊酸	Valproic Acid	N03AG01	32	CYP2C9	普遍代谢型	NM	剂量指导、不良反应预测	Normal Dosage	.	Normal Dosage，以临床推荐的标准起始剂量开始治疗。	.	PharmGKB	.				
丙戊酸	Valproic Acid	N03AG01	32	CYP2C9	中间代谢型	IM	剂量指导、不良反应预测	Decreased Dosage	.	肝毒性增加，建议Decreased Dosage。	.	PharmGKB	.				
丙戊酸	Valproic Acid	N03AG01	32	CYP2C9	弱代谢型	PM	剂量指导、不良反应预测	Decreased Dosage	.	肝毒性增加，建议Decreased Dosage。	.	PharmGKB	.				
氯沙坦	Losartan	C09CA01	83	CYP2C9	普遍代谢型	NM	剂量指导、不良反应预测	Normal Dosage	.	Normal Dosage，以临床推荐的标准起始剂量开始治疗。	NMPA指南指出，洛沙坦是一种常用的抗高血压药物，在体内主要经CYP2C9代谢活化为具有降压作用的代谢产物E-3174。携带CYP2C9*3等位基因的个体服用洛沙坦后E-3174的生成减少，洛沙坦的代谢率降低。口服单剂量洛沙坦后1h~6h后，CYP2C9*1/*3基因型个体中洛沙坦的降压作用下降，需适当增加用药剂量以增强降压疗效。	NMPA	http://www.nhc.gov.cn/yzygj/s3593/201507/fca7d0216fed429cac797cdafa2ba466.shtml				
氯沙坦	Losartan	C09CA01	83	CYP2C9	中间代谢型	IM	剂量指导、不良反应预测	Increased Dosage	.	适当增加用药剂量以增强降压疗效。	NMPA指南指出，洛沙坦是一种常用的抗高血压药物，在体内主要经CYP2C9代谢活化为具有降压作用的代谢产物E-3174。携带CYP2C9*3等位基因的个体服用洛沙坦后E-3174的生成减少，洛沙坦的代谢率降低。口服单剂量洛沙坦后1h~6h后，CYP2C9*1/*3基因型个体中洛沙坦的降压作用下降，需适当增加用药剂量以增强降压疗效。	NMPA	http://www.nhc.gov.cn/yzygj/s3593/201507/fca7d0216fed429cac797cdafa2ba466.shtml				
氯沙坦	Losartan	C09CA01	83	CYP2C9	弱代谢型	PM	剂量指导、不良反应预测	Increased Dosage	.	适当增加用药剂量以增强降压疗效。	NMPA指南指出，洛沙坦是一种常用的抗高血压药物，在体内主要经CYP2C9代谢活化为具有降压作用的代谢产物E-3174。携带CYP2C9*3等位基因的个体服用洛沙坦后E-3174的生成减少，洛沙坦的代谢率降低。口服单剂量洛沙坦后1h~6h后，CYP2C9*1/*3基因型个体中洛沙坦的降压作用下降，需适当增加用药剂量以增强降压疗效。	NMPA	http://www.nhc.gov.cn/yzygj/s3593/201507/fca7d0216fed429cac797cdafa2ba466.shtml				
塞来昔布	Celecoxib	M01AH01	30	CYP2C9	普遍代谢型	NM	不良反应预测	Normal Dosage	.	Normal Dosage，以临床推荐的标准起始剂量开始治疗。	CPIC的剂量指南建议对于CYP2C9弱代谢者，以最低推荐起始剂量的25-50％开始治疗，对于活性评分为1的CYP2C9中间代谢者建议以最低推荐起始剂量开始治疗。并在治疗过程中，仔细监测不良反应风险，如血压和肾功能。	CPIC	Theken KN, Lee CR, Gong L, et al. Clinical Pharmacogenetics Implementation Consortium Guideline (CPIC) for CYP2C9 and Nonsteroidal Anti-Inflammatory Drugs. Clin Pharmacol Ther. 2020;108(2):191-200. doi:10.1002/cpt.1830				
塞来昔布	Celecoxib	M01AH01	30	CYP2C9	中间代谢型	IM	不良反应预测	Decreased Dosage	.	使用最低有效剂量，在治疗过程中，监测不良事件，例如血压和肾功能。	CPIC的剂量指南建议对于CYP2C9弱代谢者，以最低推荐起始剂量的25-50％开始治疗，对于活性评分为1的CYP2C9中间代谢者建议以最低推荐起始剂量开始治疗。并在治疗过程中，仔细监测不良反应风险，如血压和肾功能。	CPIC	Theken KN, Lee CR, Gong L, et al. Clinical Pharmacogenetics Implementation Consortium Guideline (CPIC) for CYP2C9 and Nonsteroidal Anti-Inflammatory Drugs. Clin Pharmacol Ther. 2020;108(2):191-200. doi:10.1002/cpt.1830				
塞来昔布	Celecoxib	M01AH01	30	CYP2C9	弱代谢型	PM	不良反应预测	Alternate Drug or Decreased Dosage	.	推荐起始剂量的25-50％开始治疗，在治疗过程中，监测不良事件，例如血压和肾功能。或者，考虑另一种不经CYP2C9代谢或在体内不受CYP2C9遗传变异影响的药物。	CPIC的剂量指南建议对于CYP2C9弱代谢者，以最低推荐起始剂量的25-50％开始治疗，对于活性评分为1的CYP2C9中间代谢者建议以最低推荐起始剂量开始治疗。并在治疗过程中，仔细监测不良反应风险，如血压和肾功能。	CPIC	Theken KN, Lee CR, Gong L, et al. Clinical Pharmacogenetics Implementation Consortium Guideline (CPIC) for CYP2C9 and Nonsteroidal Anti-Inflammatory Drugs. Clin Pharmacol Ther. 2020;108(2):191-200. doi:10.1002/cpt.1830				
布洛芬	ibuprofen	M01AE01	129	CYP2C9	普遍代谢型	NM	不良反应预测	Normal Dosage	.	Normal Dosage，以临床推荐的标准起始剂量开始治疗。	CPIC的剂量指南建议对于CYP2C9弱代谢者，以最低推荐起始剂量的25-50％开始治疗，对于活性评分为1的CYP2C9中间代谢者建议以最低推荐起始剂量开始治疗。并在治疗过程中，仔细监测不良反应风险，如血压和肾功能。	CPIC	Theken KN, Lee CR, Gong L, et al. Clinical Pharmacogenetics Implementation Consortium Guideline (CPIC) for CYP2C9 and Nonsteroidal Anti-Inflammatory Drugs. Clin Pharmacol Ther. 2020;108(2):191-200. doi:10.1002/cpt.1830				
布洛芬	ibuprofen	M01AE01	129	CYP2C9	中间代谢型	IM	不良反应预测	Decreased Dosage	.	使用最低有效剂量，在治疗过程中，监测不良事件，例如血压和肾功能。	CPIC的剂量指南建议对于CYP2C9弱代谢者，以最低推荐起始剂量的25-50％开始治疗，对于活性评分为1的CYP2C9中间代谢者建议以最低推荐起始剂量开始治疗。并在治疗过程中，仔细监测不良反应风险，如血压和肾功能。	CPIC	Theken KN, Lee CR, Gong L, et al. Clinical Pharmacogenetics Implementation Consortium Guideline (CPIC) for CYP2C9 and Nonsteroidal Anti-Inflammatory Drugs. Clin Pharmacol Ther. 2020;108(2):191-200. doi:10.1002/cpt.1830				
